id_cliente,ingreso_mensual_fijo,ingreso_mensual_variable,ingreso_mensual,gastos_esenciales_mensuales,gastos_no_esenciales_mensuales,gastos_totales_del_mes,cuotas_mensuales_deuda,ahorro_mensual,ahorro_total,ratio_ahorro_neto,ratio_endeudamiento_dti,gastos_esenciales_ratio,gastos_estilo_vida_ratio,meses_supervivencia,frecuencia_transacciones_ocio,perfil_financiero
68,2202803.28,0.0,2202803.28,331941.84,876158.38,1208100.22,348330.63,646372.43,8094655.75,0.2934,0.1581,0.1507,0.3977,24.39,3,Saludable
69,747828.12,0.0,747828.12,528418.08,168445.62,696863.7,125795.09,-74830.67,0.0,-0.1001,0.1682,0.7066,0.2252,0.0,35,Saludable
70,330083.82,0.0,330083.82,94014.6,127597.95,221612.55,5617.75,102853.52,1943120.4,0.3116,0.017,0.2848,0.3866,20.67,17,Saludable
71,1214078.75,0.0,1214078.75,526099.01,282533.84,808632.85,216824.21,188621.69,336322.1,0.1554,0.1786,0.4333,0.2327,0.64,26,Saludable
72,1047725.53,0.0,1047725.53,325113.0,53461.35,378574.35,288775.57,380375.61,8316350.51,0.363,0.2756,0.3103,0.051,25.58,30,En Observación
73,1059272.67,0.0,1059272.67,504275.27,245897.28,750172.55,188866.05,120234.07,1008925.89,0.1135,0.1783,0.4761,0.2321,2.0,2,Saludable
74,999987.92,0.0,999987.92,698049.67,202490.01,900539.68,148260.31,-48812.07,0.0,-0.0488,0.1483,0.6981,0.2025,0.0,37,Saludable
75,1030388.35,507023.65,1537412.0,322590.58,636760.18,959350.76,795969.3,-217908.06,0.0,-0.1417,0.5177,0.2098,0.4142,0.0,16,En Riesgo
76,1044834.71,0.0,1044834.71,564108.34,408223.31,972331.65,133583.37,-61080.31,0.0,-0.0585,0.1279,0.5399,0.3907,0.0,34,Saludable
77,378978.02,378696.61,757674.63,532309.96,340173.46,872483.42,162972.57,-277781.36,0.0,-0.3666,0.2151,0.7026,0.449,0.0,19,En Observación
78,2287532.94,477686.08,2765219.02,901518.55,552868.04,1454386.59,635101.53,675730.9,1534408.68,0.2444,0.2297,0.326,0.1999,1.7,24,En Observación
79,1663362.81,547697.41,2211060.22,521524.17,518405.1,1039929.27,416340.44,754790.51,22280470.56,0.3414,0.1883,0.2359,0.2345,42.72,10,Saludable
80,462496.18,0.0,462496.18,343445.51,78467.89,421913.4,66740.22,-26157.44,0.0,-0.0566,0.1443,0.7426,0.1697,0.0,6,Saludable
81,821852.54,0.0,821852.54,406724.27,367431.22,774155.49,36395.42,11301.63,211192.67,0.0138,0.0443,0.4949,0.4471,0.52,3,Saludable
82,2303357.3,0.0,2303357.3,1496498.93,947080.56,2443579.49,268021.3,-408243.49,0.0,-0.1772,0.1164,0.6497,0.4112,0.0,8,Saludable
83,1682145.83,0.0,1682145.83,904665.37,291975.36,1196640.73,111229.33,374275.77,3867874.33,0.2225,0.0661,0.5378,0.1736,4.28,11,Saludable
84,741748.55,0.0,741748.55,501330.31,145637.14,646967.45,253037.21,-158256.11,0.0,-0.2134,0.3411,0.6759,0.1963,0.0,18,En Observación
85,1942430.57,69101.82,2011532.39,1463864.49,213831.54,1677696.03,967656.06,-633819.7,0.0,-0.3151,0.4811,0.7277,0.1063,0.0,23,En Riesgo
86,498666.33,158675.15,657341.48,147345.22,129781.73,277126.95,124450.66,255763.87,3103458.41,0.3891,0.1893,0.2242,0.1974,21.06,30,Saludable
87,355054.23,0.0,355054.23,172856.17,147738.9,320595.07,179644.6,-145185.44,0.0,-0.4089,0.506,0.4868,0.4161,0.0,8,En Riesgo
88,399762.98,597556.42,997319.4,219083.43,143534.22,362617.65,391700.07,243001.68,4790062.46,0.2437,0.3928,0.2197,0.1439,21.86,37,En Riesgo
89,1932991.83,248930.72,2181922.55,456922.91,536183.06,993105.97,133571.59,1055244.99,19462774.05,0.4836,0.0612,0.2094,0.2457,42.6,23,Saludable
90,518580.17,0.0,518580.17,247196.54,228764.91,475961.45,27900.17,14718.55,318696.32,0.0284,0.0538,0.4767,0.4411,1.29,13,Saludable
91,1711749.83,0.0,1711749.83,278697.65,624305.69,903003.34,62539.35,746207.14,9998697.01,0.4359,0.0365,0.1628,0.3647,35.88,13,Saludable
92,2088716.56,464621.15,2553337.71,1591204.96,736363.84,2327568.8,106196.45,119572.46,1371250.64,0.0468,0.0416,0.6232,0.2884,0.86,1,Saludable
93,589967.11,473058.92,1063026.03,535033.49,59861.58,594895.07,42313.89,425817.07,685374.37,0.4006,0.0398,0.5033,0.0563,1.28,23,Saludable
94,1429123.51,302303.21,1731426.72,1241864.75,116604.69,1358469.44,203415.02,169542.26,2087290.85,0.0979,0.1175,0.7172,0.0673,1.68,30,Saludable
95,2164056.79,0.0,2164056.79,464789.84,724873.6,1189663.44,143984.11,830409.24,3251432.77,0.3837,0.0665,0.2148,0.335,7.0,37,Saludable
96,1506384.15,596776.65,2103160.8,984981.93,486852.63,1471834.56,999936.98,-368610.74,0.0,-0.1753,0.4754,0.4683,0.2315,0.0,13,En Riesgo
97,1246153.87,0.0,1246153.87,496328.31,474744.36,971072.67,74531.87,200549.33,2131435.53,0.1609,0.0598,0.3983,0.381,4.29,30,Saludable
98,447693.28,0.0,447693.28,92197.09,39677.16,131874.25,121667.54,194151.49,2342083.15,0.4337,0.2718,0.2059,0.0886,25.4,7,En Observación
99,1203778.99,0.0,1203778.99,860314.27,263837.95,1124152.22,165371.01,-85744.24,0.0,-0.0712,0.1374,0.7147,0.2192,0.0,9,Saludable
100,1744819.87,64931.03,1809750.9,1189411.82,356565.12,1545976.94,427309.33,-163535.37,0.0,-0.0904,0.2361,0.6572,0.197,0.0,39,En Observación
101,1784948.76,0.0,1784948.76,919957.15,558925.45,1478882.6,275494.31,30571.85,624686.77,0.0171,0.1543,0.5154,0.3131,0.68,11,Saludable
102,2213697.95,0.0,2213697.95,864383.98,236311.95,1100695.93,210247.74,902754.28,8279388.21,0.4078,0.095,0.3905,0.1067,9.58,23,Saludable
103,985602.21,564844.45,1550446.66,787214.89,625352.31,1412567.2,36182.75,101696.71,1105762.67,0.0656,0.0233,0.5077,0.4033,1.4,38,Saludable
104,1272497.21,452965.89,1725463.1,376652.21,382993.2,759645.41,434424.91,531392.78,569730.92,0.308,0.2518,0.2183,0.222,1.51,38,En Observación
105,420520.31,567194.45,987714.76,602910.69,351294.94,954205.63,42883.68,-9374.55,0.0,-0.0095,0.0434,0.6104,0.3557,0.0,14,Saludable
106,1400577.16,0.0,1400577.16,887573.91,110407.78,997981.69,426735.39,-24139.92,0.0,-0.0172,0.3047,0.6337,0.0788,0.0,36,En Observación
107,1189730.35,0.0,1189730.35,385126.57,252238.21,637364.78,172427.56,379938.01,5901499.34,0.3193,0.1449,0.3237,0.212,15.32,27,Saludable
108,2157865.59,353322.77,2511188.36,1166139.44,523097.31,1689236.75,116873.68,705077.93,5216999.33,0.2808,0.0465,0.4644,0.2083,4.47,32,Saludable
109,726588.15,0.0,726588.15,262051.17,314822.9,576874.07,70345.68,79368.4,216923.9,0.1092,0.0968,0.3607,0.4333,0.83,4,Saludable
110,689721.48,0.0,689721.48,307940.1,242629.07,550569.17,149901.16,-10748.85,0.0,-0.0156,0.2173,0.4465,0.3518,0.0,40,En Observación
111,995505.57,0.0,995505.57,429413.97,301194.24,730608.21,118912.59,145984.77,810133.78,0.1466,0.1194,0.4314,0.3026,1.89,23,Saludable
112,2129732.59,518550.02,2648282.61,1756277.53,783900.54,2540178.07,581051.08,-472946.54,0.0,-0.1786,0.2194,0.6632,0.296,0.0,36,En Observación
113,1734042.4,285377.42,2019419.82,485704.08,150950.58,636654.66,575270.16,807495.0,6677997.08,0.3999,0.2849,0.2405,0.0747,13.75,15,En Observación
114,1856767.75,0.0,1856767.75,862359.32,545745.19,1408104.51,534174.48,-85511.24,0.0,-0.0461,0.2877,0.4644,0.2939,0.0,40,En Observación
115,1724071.79,56703.57,1780775.36,991941.04,291439.54,1283380.58,937730.79,-440336.01,0.0,-0.2473,0.5266,0.557,0.1637,0.0,9,En Riesgo
116,2316842.2,393632.83,2710475.03,1483391.74,275331.85,1758723.59,441015.57,510735.87,2506492.39,0.1884,0.1627,0.5473,0.1016,1.69,33,Saludable
117,505596.52,0.0,505596.52,230093.48,28966.74,259060.22,147975.66,98560.64,817509.32,0.1949,0.2927,0.4551,0.0573,3.55,9,En Observación
118,469763.19,0.0,469763.19,98971.8,168339.59,267311.39,58846.28,143605.52,1655750.93,0.3057,0.1253,0.2107,0.3583,16.73,24,Saludable
119,639356.07,415707.38,1055063.45,553744.03,433696.91,987440.94,165174.26,-97551.75,0.0,-0.0925,0.1566,0.5248,0.4111,0.0,28,Saludable
120,814806.48,579357.98,1394164.46,865249.34,573823.78,1439073.12,40573.57,-85482.23,0.0,-0.0613,0.0291,0.6206,0.4116,0.0,32,Saludable
121,1460411.53,0.0,1460411.53,934860.16,541087.86,1475948.02,672219.77,-687756.26,0.0,-0.4709,0.4603,0.6401,0.3705,0.0,33,En Riesgo
122,2172565.31,457870.1,2630435.41,825101.25,1084061.57,1909162.82,58138.67,663133.92,6619342.43,0.2521,0.0221,0.3137,0.4121,8.02,1,Saludable
123,1212773.19,224376.89,1437150.08,548559.71,118769.21,667328.92,284272.21,485548.95,2528607.34,0.3379,0.1978,0.3817,0.0826,4.61,2,Saludable
124,931134.67,0.0,931134.67,528552.26,98250.61,626802.87,98542.38,205789.42,1993572.33,0.221,0.1058,0.5676,0.1055,3.77,35,Saludable
125,2368497.09,0.0,2368497.09,956761.16,853769.9,1810531.06,398564.18,159401.85,1274217.51,0.0673,0.1683,0.404,0.3605,1.33,31,Saludable
126,1612825.89,309225.44,1922051.33,567318.21,206487.39,773805.6,123752.88,1024492.85,9238983.47,0.533,0.0644,0.2952,0.1074,16.29,23,Saludable
127,448894.51,0.0,448894.51,203976.15,199907.36,403883.51,93625.06,-48614.06,0.0,-0.1083,0.2086,0.4544,0.4453,0.0,1,En Observación
128,1085606.53,144675.55,1230282.08,669596.57,112528.42,782124.99,107385.78,340771.31,3648669.51,0.277,0.0873,0.5443,0.0915,5.45,29,Saludable
129,2457802.21,0.0,2457802.21,637472.29,255466.5,892938.79,263984.57,1300878.85,40650518.21,0.5293,0.1074,0.2594,0.1039,63.77,20,Saludable
130,2353416.16,0.0,2353416.16,1749702.84,628861.7,2378564.54,89422.91,-114571.29,0.0,-0.0487,0.038,0.7435,0.2672,0.0,21,Saludable
131,901076.53,0.0,901076.53,371397.46,189233.92,560631.38,59435.45,281009.7,4415046.49,0.3119,0.066,0.4122,0.21,11.89,33,Saludable
132,886785.53,254699.8,1141485.33,466141.85,511430.25,977572.1,30898.26,133014.97,992853.01,0.1165,0.0271,0.4084,0.448,2.13,27,Saludable
133,666618.5,0.0,666618.5,278831.72,227134.09,505965.81,161473.48,-820.79,0.0,-0.0012,0.2422,0.4183,0.3407,0.0,40,En Observación
134,1193662.51,0.0,1193662.51,716124.44,136071.19,852195.63,5575.71,335891.17,782112.72,0.2814,0.0047,0.5999,0.114,1.09,23,Saludable
135,1096731.28,0.0,1096731.28,185820.49,122148.74,307969.23,74016.62,714745.43,2232999.71,0.6517,0.0675,0.1694,0.1114,12.02,20,Saludable
136,1729033.62,68069.17,1797102.79,1062815.42,448588.46,1511403.88,104318.42,181380.49,3487301.24,0.1009,0.058,0.5914,0.2496,3.28,18,Saludable
137,1826757.41,0.0,1826757.41,493419.97,190515.03,683935.0,873815.66,269006.75,9189891.64,0.1473,0.4783,0.2701,0.1043,18.62,20,En Riesgo
138,1769247.54,0.0,1769247.54,849235.79,293951.48,1143187.27,307187.0,318873.27,1249727.22,0.1802,0.1736,0.48,0.1661,1.47,14,Saludable
139,566997.4,83326.12,650323.52,405947.44,39353.42,445300.86,133535.27,71487.39,594664.11,0.1099,0.2053,0.6242,0.0605,1.46,19,En Observación
140,1175951.96,0.0,1175951.96,514125.1,252027.73,766152.83,72221.12,337578.01,648269.46,0.2871,0.0614,0.4372,0.2143,1.26,33,Saludable
141,1057932.52,0.0,1057932.52,653969.19,323640.15,977609.34,431799.99,-351476.81,0.0,-0.3322,0.4082,0.6182,0.3059,0.0,9,En Riesgo
142,969073.99,560842.7,1529916.69,436457.95,656323.94,1092781.89,119080.56,318054.24,5989813.85,0.2079,0.0778,0.2853,0.429,13.72,40,Saludable
143,966214.13,0.0,966214.13,436288.08,113486.06,549774.14,167279.82,249160.17,5744279.4,0.2579,0.1731,0.4515,0.1175,13.17,36,Saludable
144,390627.47,0.0,390627.47,77630.85,167742.76,245373.61,74101.4,71152.46,518139.19,0.1821,0.1897,0.1987,0.4294,6.67,40,Saludable
145,1500270.46,0.0,1500270.46,496974.29,221966.76,718941.05,316427.86,464901.55,1783363.73,0.3099,0.2109,0.3313,0.148,3.59,29,En Observación
146,748850.63,0.0,748850.63,252774.16,252621.13,505395.29,82470.89,160984.45,1729735.93,0.215,0.1101,0.3375,0.3373,6.84,20,Saludable
147,831823.29,269757.61,1101580.9,258350.0,77377.37,335727.37,445626.58,320226.95,10736209.46,0.2907,0.4045,0.2345,0.0702,41.56,36,En Riesgo
148,1886482.54,95605.45,1982087.99,1481772.6,469211.85,1950984.45,261360.8,-230257.26,0.0,-0.1162,0.1319,0.7476,0.2367,0.0,37,Saludable
149,1076369.2,296936.52,1373305.72,933028.97,428064.91,1361093.88,96938.94,-84727.1,0.0,-0.0617,0.0706,0.6794,0.3117,0.0,25,Saludable
150,1105062.18,0.0,1105062.18,543877.33,141295.59,685172.92,177947.9,241941.36,2899682.4,0.2189,0.161,0.4922,0.1279,5.33,39,Saludable
151,561384.24,0.0,561384.24,216886.44,206566.32,423452.76,28553.57,109377.91,1503682.99,0.1948,0.0509,0.3863,0.368,6.93,2,Saludable
152,385610.73,0.0,385610.73,243852.33,99384.64,343236.97,129158.48,-86784.72,0.0,-0.2251,0.3349,0.6324,0.2577,0.0,39,En Observación
153,1926502.59,201824.07,2128326.66,1376971.23,559613.55,1936584.78,226264.47,-34522.59,0.0,-0.0162,0.1063,0.647,0.2629,0.0,37,Saludable
154,976891.23,0.0,976891.23,657701.27,294732.18,952433.45,453177.64,-428719.86,0.0,-0.4389,0.4639,0.6733,0.3017,0.0,3,En Riesgo
155,1583751.21,377415.14,1961166.35,1023417.96,757925.78,1781343.74,603828.66,-424006.05,0.0,-0.2162,0.3079,0.5218,0.3865,0.0,20,En Observación
156,1221316.66,0.0,1221316.66,332607.28,306218.04,638825.32,269594.44,312896.9,6096221.14,0.2562,0.2207,0.2723,0.2507,18.33,35,En Observación
157,1015108.98,0.0,1015108.98,472316.29,178152.68,650468.97,26369.86,338270.15,8920046.15,0.3332,0.026,0.4653,0.1755,18.89,16,Saludable
158,1642168.48,147911.48,1790079.96,867923.83,250515.99,1118439.82,261238.17,410401.97,6096766.4,0.2293,0.1459,0.4849,0.1399,7.02,22,Saludable
159,1533072.7,0.0,1533072.7,893779.28,253134.45,1146913.73,131877.24,254281.73,3146009.37,0.1659,0.086,0.583,0.1651,3.52,9,Saludable
160,938995.83,428484.77,1367480.6,489309.32,310350.33,799659.65,52602.32,515218.63,16034582.59,0.3768,0.0385,0.3578,0.227,32.77,8,Saludable
161,540298.48,0.0,540298.48,158615.01,37986.32,196601.33,73360.45,270336.7,2331007.36,0.5003,0.1358,0.2936,0.0703,14.7,8,Saludable
162,311399.18,0.0,311399.18,220302.4,66254.22,286556.62,43675.23,-18832.67,0.0,-0.0605,0.1403,0.7075,0.2128,0.0,3,Saludable
163,2297461.31,344480.01,2641941.32,1244595.75,896270.86,2140866.61,908210.11,-407135.4,0.0,-0.1541,0.3438,0.4711,0.3392,0.0,25,En Observación
164,2033513.39,449401.92,2482915.31,1671931.63,411634.56,2083566.19,1119039.36,-719690.24,0.0,-0.2899,0.4507,0.6734,0.1658,0.0,34,En Riesgo
165,1453500.78,0.0,1453500.78,335060.95,365824.44,700885.39,394366.86,358248.53,7915586.34,0.2465,0.2713,0.2305,0.2517,23.62,0,En Observación
166,1920559.37,0.0,1920559.37,942358.43,677790.56,1620148.99,534725.93,-234315.55,0.0,-0.122,0.2784,0.4907,0.3529,0.0,6,En Observación
167,706518.64,194161.0,900679.64,269148.52,138987.58,408136.1,31819.38,460724.16,3720334.76,0.5115,0.0353,0.2988,0.1543,13.82,23,Saludable
168,1824090.9,70934.91,1895025.81,633097.43,402061.27,1035158.7,142843.39,717023.72,3408227.09,0.3784,0.0754,0.3341,0.2122,5.38,18,Saludable
169,1108596.59,574416.32,1683012.91,735323.72,390444.64,1125768.36,800247.7,-243003.15,0.0,-0.1444,0.4755,0.4369,0.232,0.0,13,En Riesgo
